formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2020,9,META,80.5,77.4,83.5,1.0,,8,0.1429,2020-07-01,235.4821,2021-07-01,351.3051,0.4919
2020,10,KLAC,50.3,18.3,82.3,0.8889,ROIC,10,1.0,2020-07-01,18.1063,2021-07-01,29.633,0.6366
2021,1,ADBE,74.5,53.6,95.5,1.0,,11,0.7,2021-07-01,584.73,2022-07-01,368.48,-0.3698
2021,2,META,85.2,77.8,92.5,1.0,,9,0.125,2021-07-01,351.3051,2022-07-01,158.6369,-0.5484
2021,3,MSFT,63.2,35.5,91.0,1.0,,10,0.8889,2021-07-01,260.6537,2022-07-01,251.1523,-0.0365
2021,4,ASML,57.5,27.8,87.3,1.0,,10,0.8889,2021-07-01,648.1169,2022-07-01,433.242,-0.3315
2021,5,INTU,56.9,26.7,87.0,1.0,,7,0.8333,2021-07-01,472.8927,2022-07-01,375.8164,-0.2053
2021,6,GOOGL,79.5,72.5,86.5,1.0,,13,0.3333,2021-07-01,121.3683,2022-07-01,107.7818,-0.1119
2021,7,RHHBY,59.0,35.2,82.7,0.6667,"ROIC, FCF Margin, FCF Conversion",20,0.8947,2021-07-01,40.0225,2022-07-01,36.4533,-0.0892
2021,8,AMZN,79.0,78.7,79.3,1.0,,11,0.0,2021-07-01,171.6485,2022-07-01,109.56,-0.3617
2021,9,COST,51.5,24.1,78.8,1.0,,9,1.0,2021-07-01,373.1858,2022-07-01,462.5364,0.2394
2021,10,MA,57.4,37.8,77.0,1.0,,11,0.9,2021-07-01,359.4825,2022-07-01,310.1913,-0.1371
2022,1,META,88.7,80.3,97.0,1.0,,10,0.0,2022-07-01,158.6369,2023-07-03,283.5302,0.7873
2022,2,ASML,72.8,48.7,97.0,1.0,,11,0.7,2022-07-01,433.242,2023-07-03,714.2713,0.6487
2022,3,GOOGL,91.8,88.0,95.5,1.0,,14,0.0,2022-07-01,107.7818,2023-07-03,118.8462,0.1027
2022,4,ADBE,85.5,75.6,95.5,1.0,,12,0.1818,2022-07-01,368.48,2023-07-03,485.21,0.3168
2022,5,LRCX,86.7,80.0,93.3,1.0,,11,0.1,2022-07-01,37.9029,2023-07-03,63.3725,0.672
2022,6,MSFT,76.7,60.9,92.5,1.0,,11,0.6,2022-07-01,251.1523,2023-07-03,330.1776,0.3147
2022,7,TXN,80.8,70.6,91.0,1.0,,11,0.4,2022-07-01,131.463,2023-07-03,163.8204,0.2461
2022,8,NVDA,64.8,39.1,90.6,0.7778,"FCF Margin, FCF Conversion",11,0.8,2022-07-01,14.4828,2023-07-03,42.3305,1.9228
2022,9,KLAC,78.8,67.7,90.0,0.8889,ROIC,12,0.4545,2022-07-01,28.4952,2023-07-03,47.2659,0.6587
2022,10,PFE,79.8,72.3,87.3,0.8889,ROIC,12,0.2727,2022-07-01,41.1422,2023-07-03,29.887,-0.2736
2023,1,GOOGL,83.2,70.8,95.5,1.0,,15,0.3571,2023-07-03,118.8462,2024-07-01,181.5898,0.5279
2023,2,ASML,75.0,54.4,95.5,1.0,,12,0.6364,2023-07-03,714.2713,2024-07-01,1014.5743,0.4204
2023,3,NVDA,66.4,37.3,95.5,1.0,,12,0.8182,2023-07-03,42.3305,2024-07-01,124.0955,1.9316
2023,4,V,75.2,56.5,94.0,1.0,,13,0.6667,2023-07-03,232.1678,2024-07-01,258.8112,0.1148
2023,5,MA,76.3,60.2,92.5,1.0,,13,0.5833,2023-07-03,386.4359,2024-07-01,431.7719,0.1173
2023,6,TXN,66.0,41.5,90.5,1.0,,12,0.8182,2023-07-03,163.8204,2024-07-01,182.9591,0.1168
2023,7,MSFT,68.6,46.9,90.3,1.0,,12,0.7273,2023-07-03,330.1776,2024-07-01,449.6632,0.3619
2023,8,PFE,51.0,12.0,90.0,0.8889,ROIC,13,1.0,2023-07-03,29.887,2024-07-01,24.2986,-0.187
2023,9,OXY,73.0,56.5,89.4,0.8889,EPS CAGR,7,0.6667,2023-07-03,56.1461,2024-07-01,60.4217,0.0762
2023,10,LRCX,60.1,31.2,89.0,1.0,,12,0.9091,2023-07-03,63.3725,2024-07-01,104.2626,0.6452
2024,1,MA,69.0,47.8,90.3,1.0,,14,0.7692,2024-07-01,431.7719,2025-07-01,560.3552,0.2978
2024,2,V,71.0,53.2,88.8,1.0,,14,0.6923,2024-07-01,258.8112,2025-07-01,352.0302,0.3602
2024,3,ADBE,80.4,74.3,86.5,1.0,,14,0.2308,2024-07-01,560.01,2025-07-01,392.1,-0.2998
2024,4,MSFT,61.2,41.0,81.5,1.0,,13,0.8333,2024-07-01,449.6632,2025-07-01,488.1508,0.0856
2024,5,ASML,69.7,58.9,80.5,1.0,,13,0.5833,2024-07-01,1014.5743,2025-07-01,783.3106,-0.2279
2024,6,GOOGL,76.0,72.0,80.0,1.0,,16,0.3333,2024-07-01,181.5898,2025-07-01,175.3398,-0.0344
2024,7,META,75.2,71.0,79.3,1.0,,12,0.2727,2024-07-01,501.3148,2025-07-01,716.8704,0.43
2024,8,COST,46.9,16.0,77.8,1.0,,11,1.0,2024-07-01,835.2827,2025-07-01,978.8846,0.1719
2024,9,NVDA,56.4,37.3,75.5,1.0,,12,0.8182,2024-07-01,124.0955,2025-07-01,153.0961,0.2337
2024,10,JNJ,58.7,42.4,75.0,0.8889,ROIC,13,0.75,2024-07-01,138.3621,2025-07-01,152.1191,0.0994
2025,1,META,76.3,60.2,92.5,1.0,,13,0.5,2025-07-01,716.8704,2026-07-01,612.91,-0.145
2025,2,GOOGL,74.0,55.4,92.5,1.0,,17,0.6875,2025-07-01,175.3398,2026-07-01,361.21,1.0601
2025,3,ASML,68.3,44.9,91.8,1.0,,14,0.7692,2025-07-01,783.3106,2026-07-01,1840.6595,1.3498
2025,4,NVDA,79.0,66.9,91.0,1.0,,13,0.5,2025-07-01,153.0961,2026-07-01,197.58,0.2906
2025,5,ADBE,83.5,77.6,89.5,1.0,,15,0.0714,2025-07-01,392.1,2026-07-01,210.98,-0.4619
2025,6,MSFT,75.5,62.1,88.8,1.0,,14,0.5385,2025-07-01,488.1508,2026-07-01,384.28,-0.2128
2025,7,V,67.8,46.8,88.8,1.0,,15,0.7857,2025-07-01,352.0302,2026-07-01,350.429,-0.0045
2025,8,MA,76.8,66.4,87.3,1.0,,15,0.5,2025-07-01,560.3552,2026-07-01,521.5657,-0.0692
2025,9,INTU,46.0,12.0,80.0,1.0,,10,1.0,2025-07-01,769.9073,2026-07-01,265.9021,-0.6546
2025,10,COST,56.5,35.1,77.8,1.0,,12,0.8182,2025-07-01,978.8846,2026-07-01,923.2021,-0.0569
