Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2023-01-27,217867,499.76,509.1,497.86,503.29,481.06,2034069,,443837000.0
2023-01-30,217867,500.37,505.6,500.37,503.28,481.05,1855941,,443837000.0
2023-01-31,217867,503.23,511.41,502.0,511.14,488.56,1924081,,443837000.0
2023-02-01,217867,508.31,520.45,504.72,517.91,495.03,2080208,,443837000.0
2023-02-02,217867,524.29,530.05,520.64,523.43,501.17,2287366,0.9,443837000.0
2023-02-03,217867,519.13,521.55,512.5,514.8,492.91,1844148,,443837000.0
2023-02-06,217867,514.44,517.22,512.26,515.59,493.66,1740105,,443837000.0
2023-02-07,217867,511.99,517.99,507.39,516.53,494.56,1927275,,443837000.0
2023-02-08,217867,511.29,512.18,501.56,503.81,482.38,2062928,,443837000.0
2023-02-09,217867,505.29,509.16,498.42,500.63,479.34,1517341,,443837000.0
2023-02-10,217867,498.51,500.55,495.38,499.99,478.73,1536847,,443837000.0
2023-02-13,217867,501.74,506.79,501.35,506.45,484.91,1452837,,443837000.0
2023-02-14,217867,505.01,507.85,498.63,503.22,481.82,1257327,,443837000.0
2023-02-15,217867,502.73,511.42,501.34,511.28,489.54,1423417,,443837000.0
2023-02-16,217867,503.61,510.73,503.6,504.1,482.66,1455951,,443837000.0
2023-02-17,217867,504.27,507.71,501.83,507.48,485.9,1340437,,443837000.0
2023-02-21,217867,500.82,503.99,496.55,501.74,480.4,1811982,,443837000.0
2023-02-22,217867,503.92,505.46,496.6,497.39,476.24,1331969,,443837000.0
2023-02-23,217867,498.8,498.86,487.86,493.14,472.17,1546431,,443837000.0
2023-02-24,217867,488.58,490.36,484.7,488.61,467.83,1587611,,443837000.0
2023-02-27,217867,492.55,493.0,485.68,487.03,466.32,1501749,,443837000.0
2023-02-28,217867,485.6,488.88,483.78,484.18,463.59,1918221,,443837000.0
2023-03-01,217867,481.1,482.57,475.02,478.67,458.31,1759327,,443837000.0
2023-03-02,217867,477.36,487.43,475.56,485.69,465.03,2407400,,443837000.0
2023-03-03,217867,474.83,476.0,465.33,475.26,455.05,5354214,,443837000.0
2023-03-06,217867,476.52,488.82,475.52,483.08,462.54,3104742,,443837000.0
2023-03-07,217867,486.1,495.21,485.0,485.15,464.52,2659077,,443837000.0
2023-03-08,217867,483.0,486.88,481.14,486.04,465.37,1548504,,443837000.0
2023-03-09,217867,487.48,490.0,478.62,479.52,459.13,1629402,,443837000.0
2023-03-10,217867,478.98,480.46,468.38,471.14,451.1,2123002,,443837000.0
2023-03-13,217867,466.8,476.69,466.8,472.0,451.93,1799597,,443837000.0
2023-03-14,217867,475.43,485.16,473.0,481.92,461.43,2422900,,443837000.0
2023-03-15,217867,481.51,487.02,478.54,485.66,465.01,2226309,,443837000.0
2023-03-16,217867,484.93,488.14,482.76,487.26,466.54,1980652,,443837000.0
2023-03-17,217867,489.07,489.9,481.51,487.05,466.34,3959291,,443837000.0
2023-03-20,217867,488.0,490.79,485.72,489.29,468.48,1624017,,443837000.0
2023-03-21,217867,493.0,493.0,485.99,490.85,469.98,1663959,,443837000.0
2023-03-22,217867,489.46,496.62,487.35,487.52,466.79,1299654,,443837000.0
2023-03-23,217867,490.69,493.25,484.29,487.76,467.02,1566000,,443837000.0
2023-03-24,217867,486.94,495.97,486.56,495.27,474.21,1636784,,443837000.0
2023-03-27,217867,497.28,499.86,492.51,493.22,472.24,1452077,,443837000.0
2023-03-28,217867,492.61,494.06,485.41,486.77,466.07,1407839,,443837000.0
2023-03-29,217867,489.2,491.3,485.9,490.87,469.99,1642982,,443837000.0
2023-03-30,217867,493.0,495.74,491.0,491.48,470.58,1545533,,443837000.0
2023-03-31,217867,495.0,498.36,493.94,496.87,475.74,2082044,,443837000.0
2023-04-03,217867,496.5,499.2,495.0,497.03,475.89,1804653,,443837000.0
2023-04-04,217867,496.5,502.58,495.5,497.73,476.56,1913281,,443837000.0
2023-04-05,217867,499.0,504.13,495.15,497.13,475.99,1941503,,443837000.0
2023-04-06,217867,482.0,487.85,477.5,485.98,465.31,4114702,,443837000.0
2023-04-10,217867,483.9,493.9,481.66,493.83,472.83,1653593,,443837000.0
2023-04-11,217867,493.83,499.99,493.0,498.65,477.44,1547381,,443837000.0
2023-04-12,217867,500.0,500.05,488.54,489.35,468.54,2063696,,443837000.0
2023-04-13,217867,493.49,498.44,490.31,497.89,476.72,1600513,,443837000.0
2023-04-14,217867,496.19,500.37,490.16,491.3,470.41,1675297,,443837000.0
