Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2021-12-02,89661,157.26,159.29,156.75,157.09,138.23,11334736,,2633396003.0
2021-12-03,89661,157.91,159.67,157.59,159.38,140.25,8750521,,2633396003.0
2021-12-06,89661,160.19,163.52,159.83,162.94,143.38,9692041,,2633396003.0
2021-12-07,89661,164.0,164.27,162.41,163.36,143.75,8311254,,2633396003.0
2021-12-08,89661,163.47,164.57,162.64,164.34,144.61,6216391,,2633396003.0
2021-12-09,89661,164.18,165.98,163.49,165.9,145.98,8574177,,2633396003.0
2021-12-10,89661,165.57,166.69,164.65,165.49,145.62,6572247,,2633396003.0
2021-12-13,89661,164.75,169.19,163.8,168.45,148.23,11142277,,2633396003.0
2021-12-14,89661,168.33,170.97,167.16,170.29,149.85,10482433,,2633396003.0
2021-12-15,89661,169.85,171.29,169.42,171.14,150.59,8552246,,2633396003.0
2021-12-16,89661,171.26,173.51,170.84,173.01,152.24,8998582,,2633396003.0
2021-12-17,89661,169.64,170.78,167.66,168.23,148.03,16732018,,2633396003.0
2021-12-20,89661,167.81,168.51,166.55,167.75,147.61,7954532,,2633396003.0
2021-12-21,89661,168.06,168.1,165.98,167.21,147.14,7954249,,2633396003.0
2021-12-22,89661,167.06,168.17,166.12,167.93,147.77,4178361,,2633396003.0
2021-12-23,89661,167.88,168.95,167.36,168.25,148.05,3501450,,2633396003.0
2021-12-27,89661,169.14,169.85,168.7,169.67,149.3,3705063,,2633396003.0
2021-12-28,89661,169.79,170.64,169.59,170.35,149.9,3187062,,2633396003.0
2021-12-29,89661,170.0,171.99,169.91,171.55,150.96,3661968,,2633396003.0
2021-12-30,89661,172.12,172.88,171.75,172.31,151.62,4231812,,2633396003.0
2021-12-31,89661,172.53,172.68,171.03,171.07,150.53,4397524,,2633396003.0
2022-01-03,89661,170.21,171.6,169.1,171.54,150.95,6012777,,2632596969.0
2022-01-04,89661,171.06,172.29,170.59,171.08,150.54,6748363,,2632596969.0
2022-01-05,89661,172.0,173.47,171.62,172.22,151.55,7016099,,2632596969.0
2022-01-06,89661,172.15,172.5,170.8,171.63,151.03,7301633,,2632596969.0
2022-01-07,89661,171.46,174.3,171.13,173.95,153.07,6986006,,2632596969.0
2022-01-10,89661,173.69,173.69,172.16,173.09,152.31,7698444,,2632596969.0
2022-01-11,89661,172.99,173.39,170.11,171.25,150.69,8126404,,2632596969.0
2022-01-12,89661,169.61,170.08,168.34,169.79,149.41,8116205,,2632596969.0
2022-01-13,89661,169.0,170.42,168.46,168.76,148.5,6159444,,2632596969.0
2022-01-14,89661,168.62,168.65,167.15,167.84,147.69,5847839,,2632596969.0
2022-01-18,89661,167.1,167.72,166.01,167.1,147.04,7329346,,2632596969.0
2022-01-19,89661,167.2,168.72,166.32,166.58,146.58,5921517,,2632596969.0
2022-01-20,89661,167.29,167.86,164.93,165.25,145.41,6011300,,2632596969.0
2022-01-21,89661,166.19,167.99,164.47,164.87,145.08,10550302,,2632596969.0
2022-01-24,89661,164.0,164.17,158.26,162.97,143.41,14087602,,2632596969.0
2022-01-25,89661,162.36,168.41,161.58,167.63,147.51,14081247,,2632596969.0
2022-01-26,89661,167.54,169.22,166.23,168.38,148.17,9963229,,2632596969.0
2022-01-27,89661,169.39,171.91,169.0,170.59,150.11,9068738,,2632596969.0
2022-01-28,89661,170.86,171.84,169.3,171.79,151.17,9783217,,2632596969.0
2022-01-31,89661,171.5,172.62,170.82,172.29,151.61,8054895,,2632596969.0
2022-02-01,89661,171.74,171.98,169.43,170.88,150.37,8154721,,2632596969.0
2022-02-02,89661,169.65,172.99,169.65,172.77,152.03,7382821,,2632596969.0
2022-02-03,89661,172.26,173.62,171.04,172.76,152.02,6240613,,2632596969.0
2022-02-04,89661,171.0,172.98,170.12,171.63,151.03,6392155,,2632596969.0
2022-02-07,89661,171.41,171.74,170.01,171.06,150.52,6065670,,2632596969.0
2022-02-08,89661,171.02,172.05,170.48,171.51,150.92,6296300,,2632596969.0
2022-02-09,89661,172.07,172.24,171.25,171.49,150.9,5387540,,2632596969.0
2022-02-10,89661,171.21,171.22,169.3,169.42,149.08,10355349,,2632596969.0
2022-02-11,89661,169.12,170.15,167.54,167.71,147.58,13125328,,2632596969.0
2022-02-14,89661,167.71,167.97,163.81,165.6,145.72,8967638,,2632596969.0
2022-02-15,89661,166.13,168.1,166.01,167.31,147.22,6632823,,2632596969.0
2022-02-16,89661,166.49,167.84,165.71,167.21,147.14,8482618,,2632596969.0
2022-02-17,89661,167.21,167.45,164.92,166.19,146.24,6227569,,2632596969.0
2022-02-18,89661,164.98,165.36,162.94,163.36,144.68,6423165,1.06,2632596969.0
2022-02-22,89661,163.57,163.74,160.44,161.14,142.72,6773079,,2632596969.0
2022-02-23,89661,161.51,162.64,160.85,161.22,142.79,8016903,,2632596969.0
2022-02-24,89661,159.78,160.13,155.72,158.14,140.06,12883436,,2632596969.0
2022-02-25,89661,160.0,166.99,159.7,166.0,147.02,11340354,,2632596969.0
2022-02-28,89661,162.87,165.18,162.38,164.57,145.75,9373511,,2632596969.0
2022-03-01,89661,163.04,164.75,162.41,164.0,145.25,8737846,,2632596969.0
2022-03-02,89661,164.41,167.63,164.04,166.04,147.06,6793377,,2632596969.0
2022-03-03,89661,166.7,169.34,166.32,168.48,149.22,7333736,,2632596969.0
2022-03-04,89661,167.64,169.86,166.85,169.48,150.1,6302672,,2632596969.0
2022-03-07,89661,168.3,173.12,167.36,172.21,152.52,11663353,,2632596969.0
2022-03-08,89661,172.04,173.12,168.51,168.72,149.43,11100340,,2632596969.0
2022-03-09,89661,170.01,170.23,167.89,169.36,150.0,7248218,,2632596969.0
2022-03-10,89661,168.56,170.15,168.07,169.66,150.26,6171649,,2632596969.0
2022-03-11,89661,169.13,171.46,169.02,169.35,149.99,5188196,,2632596969.0
2022-03-14,89661,170.68,174.12,170.35,171.69,152.06,7729453,,2632596969.0
2022-03-15,89661,173.33,176.52,172.55,176.14,156.0,10554596,,2632596969.0
2022-03-16,89661,175.46,176.95,172.56,174.52,154.57,9603324,,2632596969.0
2022-03-17,89661,175.21,176.84,174.2,176.8,156.58,7472219,,2632596969.0
2022-03-18,89661,177.0,177.0,173.66,174.84,154.85,13324677,,2632596969.0
2022-03-21,89661,174.66,177.16,174.32,175.83,155.73,7508983,,2632596969.0
2022-03-22,89661,175.83,176.37,173.91,175.0,154.99,7800462,,2632596969.0
2022-03-23,89661,175.23,175.54,174.09,174.34,154.41,5254350,,2632596969.0
2022-03-24,89661,175.0,175.54,174.07,175.24,155.2,5012277,,2632596969.0
2022-03-25,89661,175.69,177.7,175.22,176.92,156.69,4723053,,2632596969.0
2022-03-28,89661,176.65,178.18,176.35,177.83,157.5,5604162,,2632596969.0
2022-03-29,89661,178.62,179.4,176.8,177.74,157.42,5933444,,2632596969.0
2022-03-30,89661,178.44,179.86,177.68,179.59,159.06,6277556,,2632596969.0
2022-03-31,89661,179.59,180.21,176.98,177.23,156.97,11490395,,2632596969.0
2022-04-01,89661,177.05,178.43,175.6,178.19,157.82,6525643,,2632596969.0
2022-04-04,89661,178.19,178.19,175.52,176.47,156.29,6860771,,2629615456.0
2022-04-05,89661,176.47,179.65,176.29,177.61,157.3,7284104,,2629615456.0
2022-04-06,89661,179.39,182.6,178.62,182.23,161.39,10330886,,2629615456.0
2022-04-07,89661,181.67,182.95,180.23,181.76,160.98,7385179,,2629615456.0
2022-04-08,89661,181.33,183.19,180.43,182.12,161.3,7144608,,2629615456.0
2022-04-11,89661,183.0,184.2,179.6,179.84,159.28,5932040,,2629615456.0
2022-04-12,89661,179.2,180.81,178.2,179.9,159.33,5957536,,2629615456.0
2022-04-13,89661,179.9,180.84,179.24,180.66,160.0,5643118,,2629615456.0
2022-04-14,89661,180.0,181.4,179.73,179.9,159.33,6188193,,2629615456.0
2022-04-18,89661,179.73,180.39,176.74,177.66,157.35,6318656,,2629615456.0
2022-04-19,89661,180.72,185.94,179.95,183.08,162.15,14380839,,2629615456.0
2022-04-20,89661,182.24,184.32,181.9,183.89,162.86,7958165,,2629615456.0
2022-04-21,89661,183.93,184.87,182.56,183.36,162.39,6969405,,2629615456.0
2022-04-22,89661,182.47,183.15,181.38,181.54,160.78,8003593,,2629615456.0
2022-04-25,89661,182.34,186.69,182.1,186.01,164.74,11176501,,2629615456.0
2022-04-26,89661,185.1,186.57,184.18,184.68,163.56,10066557,,2629615456.0
2022-04-27,89661,184.24,184.82,181.74,182.1,161.28,11090331,,2629615456.0
2022-04-28,89661,182.25,184.5,181.92,183.46,162.48,9405147,,2629615456.0
2022-04-29,89661,182.5,182.54,180.2,180.46,159.83,8464103,,2629615456.0
2022-05-02,89661,180.47,181.41,177.03,178.64,158.21,7145420,,2629615456.0
2022-05-03,89661,178.8,180.63,177.68,178.29,157.9,5898660,,2629615456.0
2022-05-04,89661,178.15,180.5,177.15,180.2,159.6,5856999,,2629615456.0
2022-05-05,89661,179.42,179.71,175.27,176.76,156.55,7089184,,2629615456.0
2022-05-06,89661,175.14,176.87,174.69,176.37,156.2,6434011,,2629615456.0
2022-05-09,89661,175.45,178.56,174.59,177.33,157.05,7855212,,2629615456.0
