ticker,name,slug,page_metric,report_type,page_url,file_url,file_name,report_year,source_href,status
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2013.pdf,1.ar.en.2013.pdf,2013,/annual-reports/1.ar.en.2013.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-12-316848_d347676d10k.pdf,0001193125-12-316848_d347676d10k.pdf,2012,/annual-reports-10k/0001193125-12-316848_d347676d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2012.pdf,1.ar.en.2012.pdf,2012,/annual-reports/1.ar.en.2012.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-11-200680_d10k.pdf,0001193125-11-200680_d10k.pdf,2011,/annual-reports-10k/0001193125-11-200680_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2011.pdf,1.ar.en.2011.pdf,2011,/annual-reports/1.ar.en.2011.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-10-171791_d10k.pdf,0001193125-10-171791_d10k.pdf,2010,/annual-reports-10k/0001193125-10-171791_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2010.pdf,1.ar.en.2010.pdf,2010,/annual-reports/1.ar.en.2010.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-09-158735_d10k.pdf,0001193125-09-158735_d10k.pdf,2009,/annual-reports-10k/0001193125-09-158735_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2009.pdf,1.ar.en.2009.pdf,2009,/annual-reports/1.ar.en.2009.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-08-162768_d10k.pdf,0001193125-08-162768_d10k.pdf,2008,/annual-reports-10k/0001193125-08-162768_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2008.pdf,1.ar.en.2008.pdf,2008,/annual-reports/1.ar.en.2008.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-07-170817_d10k.pdf,0001193125-07-170817_d10k.pdf,2007,/annual-reports-10k/0001193125-07-170817_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2007.pdf,1.ar.en.2007.pdf,2007,/annual-reports/1.ar.en.2007.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-06-180008_d10k.pdf,0001193125-06-180008_d10k.pdf,2006,/annual-reports-10k/0001193125-06-180008_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2006.pdf,1.ar.en.2006.pdf,2006,/annual-reports/1.ar.en.2006.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-05-174825_d10k.pdf,0001193125-05-174825_d10k.pdf,2005,/annual-reports-10k/0001193125-05-174825_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2005.pdf,1.ar.en.2005.pdf,2005,/annual-reports/1.ar.en.2005.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-04-150689_d10k.pdf,0001193125-04-150689_d10k.pdf,2004,/annual-reports-10k/0001193125-04-150689_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2004.pdf,1.ar.en.2004.pdf,2004,/annual-reports/1.ar.en.2004.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-03-045632_d10k.pdf,0001193125-03-045632_d10k.pdf,2003,/annual-reports-10k/0001193125-03-045632_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001032210-02-001351_d10k.pdf,0001032210-02-001351_d10k.pdf,2002,/annual-reports-10k/0001032210-02-001351_d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2002.pdf,1.ar.en.2002.pdf,2002,/annual-reports/1.ar.en.2002.pdf,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2001.pdf,1.ar.en.2001.pdf,2001,/annual-reports/1.ar.en.2001.pdf,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.1999.pdf,1.ar.en.1999.pdf,1999,/annual-reports/1.ar.en.1999.pdf,ok
